id,name,rank,website,domain,headquarters,category,cagr
7ff47789-f3b9-4e93-be84-cd0cf7020504,A&M Unternehmerberatung,515,,,Germany,Advertising & Marketing,61.9
28e6d453-ad24-4935-931d-341cbd3c2bfb,Lammertz-Elektrotechnik,517,,,Germany,Electrical Manufacturing,61.5
bffa4594-b5cb-4a90-8eb8-a19188a75fe6,Hitisy,520,,,Germany,Wholesale,61.3
98053010-886d-488c-b50b-31358fdfbf34,IT Centric,523,,,Italy,IT & Software,61.2
cc9514d5-4901-45bd-9ff5-b08411f3a527,eniosol,531,,,Germany,Energy & Utilities,60.3
e10d5ba2-4b4f-49ed-9cc8-8e260e2e61c5,Volmet,533,,,Czechia,Automotive,60.2
430964f5-a4e8-4143-b96c-58979ca7336b,Tecnicar,536,,,Italy,Automotive,59.9
a1a1ef42-34da-4ce3-854d-6715930f4692,DINO,541,,,Germany,Mechanical & Plant Engineering,59.5
4c125251-1bd1-43b7-acb6-45b50faed703,Entweder,542,,,"Netherlands, Kingdom of the",Real Estate,59.5
95d31fec-8bfa-484e-9647-7ce543bf2016,Froda,544,,,Sweden,"Fintech, Financial Services & Insurance",59.3
e627c2e8-3994-434c-96ac-79531bc1fe81,SFRE,552,,,Italy,"Professional, Scientific & Technical Services",58.8
ff5f2aab-2f3f-411e-b1f9-df0f9475129f,LEDdiretto.it,554,,,Italy,Ecommerce,58.4
928e1013-cdd1-48f3-a3ed-6b1f86fade3b,Pirene,555,,,Italy,Advertising & Marketing,58.2
78fc2b1f-7dc6-4672-98a0-297f29bc9a04,JL&P,557,,,France,Energy & Utilities,57.7
6b001217-719a-4b5b-ab10-5067f5ab573d,T.O.M.,558,,,Germany,Construction & Engineering,57.6
796a58da-0c42-4bec-ba6d-3954dbd1ebb4,BetterGov,564,,,United Kingdom of Great Britain and Northern Ireland,Management consulting,57.3
375a663e-1ff6-4b91-a3a0-db4e703f7c6e,Sayano,567,,,Germany,Ecommerce,57.3
89efdc5a-62d8-40f5-a07a-ff1aedc18a88,NuBeTech,572,,,Italy,IT & Software,57
2fbdff39-f8f9-439e-a37e-417ecd7616f2,Omnium,581,,,Norway,IT & Software,56.6
af081392-86a8-4d39-a89f-1c6147f8c3c5,Soorce,585,,,Germany,Employment Services,56.1
f91da510-7400-485b-aae4-aea8a2b3f604,AW Personal,588,,,Germany,Employment Services,56
9fa3eb90-72a0-4946-b63f-e99cc4d95e1c,Online-Phones 24,594,,,Germany,Ecommerce,55.8
3612a381-f1d6-4b1c-88ec-a3b01815709c,I.T.E.,598,,,Italy,Energy & Utilities,55.5
0a80e5e8-83f2-4de0-a9b2-255f0ef7f536,P.B.L.,600,,,Italy,Manufacturing,55.5
14d72454-0abf-405b-a4b5-5c781418e705,Chefstore.nl,602,,,"Netherlands, Kingdom of the",Ecommerce,55.4
4c754074-d688-4689-ae72-d34071617b4e,Digex,604,,,"Netherlands, Kingdom of the",IT & Software,55.4
fcc6339e-0c8e-416e-bb8e-d00b1e0a174b,Fruggr,608,,,France,IT & Software,55
96314637-b085-43a1-b0dd-48ca5a461348,Autoeasy,609,,,France,Automotive,54.8
8d77c2f6-30db-4144-b08b-baeb913343d4,CVEP,612,,,Germany,Automotive,54.8
a2e169d5-abb8-428d-b3a2-0fe5b9c699bb,Déco,620,,,Italy,Construction & Engineering,54.1
6a8973b7-437d-4ab8-8275-5ba2370437d9,Scuccato S.A.,622,,,Italy,Construction & Engineering,53.7
2bd189cf-7143-499e-aa1f-6b4440639444,Heca,623,,,Italy,"Fintech, Financial Services & Insurance",53.7
17ea0c4f-e204-48f9-8e4d-c07ab7ec7abe,L'ABCD,626,,,Italy,IT & Software,53.6
fd1d277a-cbf8-4db1-8be0-1a4e051201eb,Funnel,652,,,Sweden,Advertising & Marketing,52.2
71d4bb37-bd5f-408d-81f6-165fe734c117,Masthaven,654,,,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",52
b4feba79-7d8e-44ca-9de2-8a6b3aa8cbfe,Innovando,659,,,Italy,Waste Management & recycling,51.7
0eff52d8-01dc-4ba8-9e39-6c8abeeb8cd4,Skylabs,664,,,Italy,IT & Software,51.5
8b457d05-005d-4935-822c-9d31aa648435,CottonBee,668,,,Poland,Ecommerce,51.1
f96e8c0e-fd74-469e-8106-438324577c39,Sun-Times,683,,,Italy,Advertising & Marketing,49.9
4a399094-bd76-4c0c-867f-a736303800c6,Superprof,684,,,France,Education & Social Services,49.6
70be04b0-ccdb-4e99-a4f8-1833c4fee348,Montis-Q,686,,,"Netherlands, Kingdom of the","Fintech, Financial Services & Insurance",49.5
4df7343d-0b83-42fa-8f63-160c869f441e,Justnails,688,,,Germany,Wholesale,49.4
180ca0e5-29b5-4e46-b959-91b409f6ec7c,Arcipelago,696,,,Italy,Energy & Utilities,48.9
5a239eb9-5ce2-4a87-b215-78ad29fa877d,my Boo,697,,,Germany,Ecommerce,48.8
17f774dc-b987-48a4-aff2-0ba873da2ff9,Mirror,703,,,Italy,Advertising & Marketing,48.5
c67f9b1a-3fcb-47b6-9e8f-482b5fa89cf8,SOMI,714,,,Germany,Employment Services,47.9
c06772a3-5b57-4f44-b9e5-0ba4e2943501,RoomRaccoon,716,,,"Netherlands, Kingdom of the",IT & Software,47.8
6d1a65d4-3754-4809-89a3-014e7f9c3ffa,89up,717,,,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,47.6
c60dd5e6-1140-4a1d-8686-106037d10c53,JK-Concepts,718,,,Germany,Automotive,47.5
293492b9-f3a8-4158-9adc-4d30972c4386,Pilastro,734,,,Italy,Logistics & Transportation,46.6
c125b568-0283-40bb-a1c4-f41aedc1df36,ins-pi,735,,,Germany,IT & Software,46.6
6b540cf3-110f-4e91-8275-9c89758f99bc,MijnWerkgever.nl,740,,,"Netherlands, Kingdom of the","Fintech, Financial Services & Insurance",46.4
8880f362-e29e-44d9-bc96-3a83745ecdda,Sinay,742,,,France,IT & Software,46.4
801d7879-5770-4e25-aef4-e0c5748dbcd3,MCO (MyComplianceOffice),750,,,Ireland,"Fintech, Financial Services & Insurance",46.2
699002e9-5bff-4afa-93ec-378032cae0f3,OCM,751,,,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,46.1
36212a00-31e3-4979-9ece-d4e1573a5065,Myconnect,757,,,France,IT & Software,45.5
fd08840d-1cb6-4a8c-8472-adb65ef7f878,Coopemploi,759,,,France,Employment Services,45.3
9fcd1341-e6fd-4298-b7bf-3aba16117c07,grüum,768,,,United Kingdom of Great Britain and Northern Ireland,Ecommerce,45.1
